Epoch 066 | train_loss=0.3814 train_acc=0.9423 | val_loss=0.3746 val_acc=0.9324
Epoch 067 | train_loss=0.3780 train_acc=0.9432 | val_loss=0.3716 val_acc=0.9324
Epoch 068 | train_loss=0.3747 train_acc=0.9432 | val_loss=0.3685 val_acc=0.9352
Epoch 069 | train_loss=0.3715 train_acc=0.9432 | val_loss=0.3654 val_acc=0.9352
Epoch 070 | train_loss=0.3683 train_acc=0.9432 | val_loss=0.3624 val_acc=0.9352
Epoch 071 | train_loss=0.3653 train_acc=0.9432 | val_loss=0.3595 val_acc=0.9352
Epoch 072 | train_loss=0.3623 train_acc=0.9441 | val_loss=0.3567 val_acc=0.9352
Epoch 073 | train_loss=0.3594 train_acc=0.9441 | val_loss=0.3539 val_acc=0.9352
Epoch 074 | train_loss=0.3566 train_acc=0.9451 | val_loss=0.3512 val_acc=0.9324
Epoch 075 | train_loss=0.3538 train_acc=0.9451 | val_loss=0.3486 val_acc=0.9324
Epoch 076 | train_loss=0.3511 train_acc=0.9451 | val_loss=0.3461 val_acc=0.9324
Epoch 077 | train_loss=0.3484 train_acc=0.9441 | val_loss=0.3435 val_acc=0.9352
Epoch 078 | train_loss=0.3459 train_acc=0.9441 | val_loss=0.3411 val_acc=0.9352
Epoch 079 | train_loss=0.3433 train_acc=0.9460 | val_loss=0.3388 val_acc=0.9352
Epoch 080 | train_loss=0.3409 train_acc=0.9460 | val_loss=0.3365 val_acc=0.9352
Epoch 081 | train_loss=0.3384 train_acc=0.9451 | val_loss=0.3342 val_acc=0.9352
Epoch 082 | train_loss=0.3361 train_acc=0.9460 | val_loss=0.3319 val_acc=0.9352
Epoch 083 | train_loss=0.3337 train_acc=0.9469 | val_loss=0.3297 val_acc=0.9352
Epoch 084 | train_loss=0.3315 train_acc=0.9460 | val_loss=0.3277 val_acc=0.9352
Epoch 085 | train_loss=0.3293 train_acc=0.9479 | val_loss=0.3255 val_acc=0.9352
Epoch 086 | train_loss=0.3271 train_acc=0.9479 | val_loss=0.3235 val_acc=0.9352
Epoch 087 | train_loss=0.3249 train_acc=0.9488 | val_loss=0.3215 val_acc=0.9352
Epoch 088 | train_loss=0.3229 train_acc=0.9488 | val_loss=0.3195 val_acc=0.9352
Epoch 089 | train_loss=0.3208 train_acc=0.9488 | val_loss=0.3177 val_acc=0.9352
Epoch 090 | train_loss=0.3188 train_acc=0.9488 | val_loss=0.3158 val_acc=0.9352
Epoch 091 | train_loss=0.3168 train_acc=0.9488 | val_loss=0.3139 val_acc=0.9352
Epoch 092 | train_loss=0.3149 train_acc=0.9497 | val_loss=0.3122 val_acc=0.9352
Epoch 093 | train_loss=0.3130 train_acc=0.9488 | val_loss=0.3106 val_acc=0.9380
Epoch 094 | train_loss=0.3111 train_acc=0.9507 | val_loss=0.3086 val_acc=0.9352
Epoch 095 | train_loss=0.3093 train_acc=0.9507 | val_loss=0.3069 val_acc=0.9352
Epoch 096 | train_loss=0.3075 train_acc=0.9497 | val_loss=0.3053 val_acc=0.9408
Epoch 097 | train_loss=0.3058 train_acc=0.9497 | val_loss=0.3036 val_acc=0.9408
Epoch 098 | train_loss=0.3040 train_acc=0.9516 | val_loss=0.3019 val_acc=0.9380
Epoch 099 | train_loss=0.3023 train_acc=0.9516 | val_loss=0.3004 val_acc=0.9408
Epoch 100 | train_loss=0.3006 train_acc=0.9525 | val_loss=0.2988 val_acc=0.9408
Epoch 101 | train_loss=0.2990 train_acc=0.9525 | val_loss=0.2973 val_acc=0.9437
Epoch 102 | train_loss=0.2974 train_acc=0.9525 | val_loss=0.2958 val_acc=0.9437
Epoch 103 | train_loss=0.2958 train_acc=0.9525 | val_loss=0.2943 val_acc=0.9437
Epoch 104 | train_loss=0.2942 train_acc=0.9525 | val_loss=0.2930 val_acc=0.9437
Epoch 105 | train_loss=0.2927 train_acc=0.9534 | val_loss=0.2916 val_acc=0.9437
Epoch 106 | train_loss=0.2912 train_acc=0.9534 | val_loss=0.2902 val_acc=0.9437
Epoch 107 | train_loss=0.2897 train_acc=0.9544 | val_loss=0.2889 val_acc=0.9437
Epoch 108 | train_loss=0.2883 train_acc=0.9544 | val_loss=0.2875 val_acc=0.9437
Epoch 109 | train_loss=0.2868 train_acc=0.9544 | val_loss=0.2861 val_acc=0.9437
Epoch 110 | train_loss=0.2854 train_acc=0.9553 | val_loss=0.2848 val_acc=0.9437
Epoch 111 | train_loss=0.2840 train_acc=0.9553 | val_loss=0.2835 val_acc=0.9465
Epoch 112 | train_loss=0.2827 train_acc=0.9562 | val_loss=0.2823 val_acc=0.9465
Epoch 113 | train_loss=0.2813 train_acc=0.9562 | val_loss=0.2811 val_acc=0.9465
Epoch 114 | train_loss=0.2800 train_acc=0.9553 | val_loss=0.2798 val_acc=0.9465
Epoch 115 | train_loss=0.2787 train_acc=0.9553 | val_loss=0.2786 val_acc=0.9465
Epoch 116 | train_loss=0.2774 train_acc=0.9572 | val_loss=0.2774 val_acc=0.9465
Epoch 117 | train_loss=0.2761 train_acc=0.9562 | val_loss=0.2763 val_acc=0.9465
